team,game,season,starting_minute,end_minute,0,1,2,3,4
GSW,201510270GSW,2016,0,7,Andrew Bogut,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,8,8,Andre Iguodala,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,9,9,Andre Iguodala,Draymond Green,Harrison Barnes,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,10,11,Andre Iguodala,Festus Ezeli,Harrison Barnes,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,12,12,Andre Iguodala,Festus Ezeli,James Michael McAdoo,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,13,13,Andre Iguodala,Festus Ezeli,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510270GSW,2016,14,16,Andre Iguodala,Klay Thompson,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510270GSW,2016,17,17,Draymond Green,Harrison Barnes,Leandro Barbosa,Shaun Livingston,Stephen Curry
GSW,201510270GSW,2016,18,20,Andrew Bogut,Draymond Green,Harrison Barnes,Shaun Livingston,Stephen Curry
GSW,201510270GSW,2016,21,24,Andre Iguodala,Andrew Bogut,Harrison Barnes,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,25,29,Andrew Bogut,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,30,32,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,33,33,Andre Iguodala,Draymond Green,Festus Ezeli,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,34,35,Andre Iguodala,Festus Ezeli,Harrison Barnes,Leandro Barbosa,Shaun Livingston
GSW,201510270GSW,2016,36,39,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510270GSW,2016,40,43,Draymond Green,Festus Ezeli,Klay Thompson,Shaun Livingston,Stephen Curry
GSW,201510270GSW,2016,44,46,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,47,47,Brandon Rush,James Michael McAdoo,Leandro Barbosa,Marreese Speights,Shaun Livingston
NOP,201510270GSW,2016,0,4,Anthony Davis,Dante Cunningham,Eric Gordon,Kendrick Perkins,Nate Robinson
NOP,201510270GSW,2016,5,7,Anthony Davis,Dante Cunningham,Eric Gordon,Ish Smith,Kendrick Perkins
NOP,201510270GSW,2016,8,11,Alexis Ajinca,Anthony Davis,Dante Cunningham,Eric Gordon,Ish Smith
NOP,201510270GSW,2016,12,12,Alexis Ajinca,Alonzo Gee,Anthony Davis,Eric Gordon,Ish Smith
NOP,201510270GSW,2016,13,14,Alexis Ajinca,Alonzo Gee,Eric Gordon,Ish Smith,Ryan Anderson
NOP,201510270GSW,2016,15,16,Alonzo Gee,Anthony Davis,Dante Cunningham,Ish Smith,Ryan Anderson
NOP,201510270GSW,2016,17,19,Alonzo Gee,Anthony Davis,Dante Cunningham,Nate Robinson,Ryan Anderson
NOP,201510270GSW,2016,20,20,Dante Cunningham,Eric Gordon,Kendrick Perkins,Nate Robinson,Ryan Anderson
NOP,201510270GSW,2016,21,23,Dante Cunningham,Eric Gordon,Ish Smith,Kendrick Perkins,Ryan Anderson
NOP,201510270GSW,2016,24,24,Anthony Davis,Dante Cunningham,Eric Gordon,Nate Robinson,Ryan Anderson
NOP,201510270GSW,2016,25,26,Anthony Davis,Dante Cunningham,Eric Gordon,Kendrick Perkins,Nate Robinson
NOP,201510270GSW,2016,27,29,Anthony Davis,Dante Cunningham,Eric Gordon,Ish Smith,Ryan Anderson
NOP,201510270GSW,2016,30,35,Alonzo Gee,Anthony Davis,Eric Gordon,Ish Smith,Ryan Anderson
NOP,201510270GSW,2016,36,38,Alexis Ajinca,Alonzo Gee,Ish Smith,Nate Robinson,Ryan Anderson
NOP,201510270GSW,2016,39,39,Alexis Ajinca,Alonzo Gee,Anthony Davis,Ish Smith,Nate Robinson
NOP,201510270GSW,2016,40,43,Alexis Ajinca,Alonzo Gee,Anthony Davis,Eric Gordon,Ish Smith
